data,description,detail_url,mall,price,score,title,url
,"
                    ",https://www.smzdm.com/p/13988617/,,"
                            399元                        ",,asics 亚瑟士 GEL-Cumulus 19  女士运动跑步鞋,https://www.smzdm.com/fenlei/yundonghuwai/
05-22 20:03					     																,"
                                                    第一代米家空调伴侣发布于2017年5月，发售价169元，19年5月发布的这款2代产品，官方宣称“轻装上阵”，取消了网关功能。依然支持智能控制，使用米家APP，可...                            ",https://www.smzdm.com/p/13955144/,"
                                                                                京东                                    ","
                            79元                        ",2,MIJIA 米家 空调伴侣 2,https://www.smzdm.com/fenlei/zhinengjiaju/
10小时前					     																,"
                                                    京东好店商家，目前售价49.9元， 现在可领用20元优惠券（领券链接在本文末尾），实付29.9元包邮。厂家直销，质量保障，限购1件，感兴趣的值友可以考虑入手~~...                            ",https://www.smzdm.com/p/13977170/,"
                                                                                京东                                    ","
                            25元包邮（需用券）                        ",8,新视界 2019新款手机吃鸡神器 吃鸡游戏辅助神器,https://www.smzdm.com/fenlei/youxiwaishe/
4小时前					     																,"
                                                    天猫精选目前报价998元，使用150元优惠券后实付848元，持平站内优惠价格，喜欢的值友可以关注叠加优惠券：",https://www.smzdm.com/p/13986344/,"
                                                                                天猫精选                                    ","
                            848元（需用券）                        ",0,Royalstar  荣事达  CXW-200-T610  抽油烟机,https://www.smzdm.com/fenlei/yanjizaoju/
,"
                    ",https://www.smzdm.com/p/13985559/,,"
                            7668元包邮                        ",,Apple 苹果 2018款 Mac mini 台式机（i5、8GB、256GB）,https://www.smzdm.com/fenlei/taishiji/
,"
                    ",https://www.smzdm.com/p/13986701/,,"
                            199.9元                        ",,金士顿（Kingston）128GB SD 存储卡 U3 C10 A1 V30 极速版 读速100MB/s 4K高品质视频拍摄 终身保固,https://www.smzdm.com/fenlei/cunchuka/
,"
                    ",https://www.smzdm.com/p/13627640/,,"
                                                                                                ",,Logitech 罗技 Flight Throttle Quadrant 专用轴杆仿真控制器 飞行油门弧座,https://www.smzdm.com/fenlei/youxiyaogan/
data,description,detail_url,mall,price,score,title,url
11小时前					     																,"
                        绘威 M228Z 易加粉粉盒京东报价45                    ",https://www.smzdm.com/p/13976025/,"
                                                                                京东                                    ","
                            135元包邮（合33.75元/件）                        ",0,绘威 M228Z 易加粉粉盒 *4件,https://www.smzdm.com/fenlei/bangonghaocai/
49分钟前					     																,"
                                                    变色PU皮料，手感细腻，纹路清晰。chogori 巧客 A5可插笔皮面笔记本，这款笔记本封面采用优质变色PU皮料，手感细腻，纹路清晰。侧面插笔位设计，方便随时书...                            ",https://www.smzdm.com/p/13985210/,"
                                                                                京东                                    ","
                            9.8元包邮                        ",0,值友专享 : chogori 巧客 A5可插笔皮面笔记本,https://www.smzdm.com/fenlei/bangongshebei/
,"
                    ",https://www.smzdm.com/p/13987402/,,"
                            89元包邮                        ",,sur medic玻尿酸100面膜 10片,https://www.smzdm.com/fenlei/gehuhuazhuang/
